=======================================================
🏟️  FULL 9-INNING BASEBALL SIMULATION START
=======================================================
Outcome: STRIKE     | Top 1 | AWAY 0 - 0 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 0 - 0 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 0 - 0 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FAIR       | Top 1 | AWAY 0 - 0 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 1 | AWAY 0 - 0 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: HOME RUN   | Top 1 | AWAY 2 - 0 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: FOUL       | Top 1 | AWAY 2 - 0 HOME | O:1 S:1 B:0 | Bases: 000
Outcome: BALL       | Top 1 | AWAY 2 - 0 HOME | O:1 S:1 B:1 | Bases: 000
Outcome: FAIR       | Top 1 | AWAY 2 - 0 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 1 | AWAY 2 - 0 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: BALL       | Top 1 | AWAY 2 - 0 HOME | O:1 S:1 B:1 | Bases: 100
Outcome: HOME RUN   | Top 1 | AWAY 4 - 0 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 1 | AWAY 4 - 0 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: FOUL       | Top 1 | AWAY 4 - 0 HOME | O:1 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 4 - 0 HOME | O:1 S:2 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 4 - 0 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 4 - 0 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 4 - 0 HOME | O:2 S:2 B:0 | Bases: 000
Outcome: HOME RUN   | Top 1 | AWAY 5 - 0 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 1 | AWAY 5 - 0 HOME | O:2 S:0 B:1 | Bases: 000
Outcome: FAIR       | Top 1 | AWAY 5 - 0 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 1 | AWAY 5 - 0 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: FOUL       | Top 1 | AWAY 5 - 0 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: HOME RUN   | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:1 | Bases: 000
Outcome: BALL       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:2 | Bases: 000
Outcome: FAIR       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: FOUL       | Top 1 | AWAY 7 - 0 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Top 1 | AWAY 7 - 0 HOME | O:2 S:2 B:0 | Bases: 100
Outcome: FAIR       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: FAIR       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: BALL       | Top 1 | AWAY 7 - 0 HOME | O:2 S:0 B:1 | Bases: 111
Outcome: HOME RUN   | Top 1 | AWAY 11 - 0 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 11 - 0 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 1 | AWAY 11 - 0 HOME | O:2 S:2 B:0 | Bases: 000
Outcome: STRIKE     | Bot 1 | AWAY 11 - 0 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 1 | AWAY 11 - 0 HOME | O:0 S:0 B:0 | Bases: 100
